Product,Attributes,
Lemon,Myrtle,
Lemon,Verbena,
Lemon,Japanese (= Yuzu),
Lemon,Pink,
Lemon,Seedless,
Lemon,Seeded,
Lemon,Conventional,
Lemon,Sweet Lemon,
Lemon,Eureka - LS Eureka,
Lemon,Mesina,
Lemon,Strips,
Lemon,Sliced - Rings,
Lemon,Crumble & Pieces,
Lemon,Whole & Broken,
Lemon,Caton Box - Telescopic,
Lemon,Caton Box - Open Top,
Lemon,Plastic Punnets (=Clamshells),
Lemon,Crates & Bins,
Lemon,Foodtainer & Tray,
Lemon,Carry Bags,
Lemon,Extract,
Lemon,Plastic Box,
Lemon,Pitted,
Lemon,Chaparro,
Lemon,Carton Box (=Cardboard Box),
Lemon,As per customer's request,
Lemon,PP Bags,
Lemon,Mesh Bags (=Nets),
Lemon,Flowpack,
Lemon,Dried - Sun Dried,
Lemon,Wooden Box,
Lemon,Benzheir,
Lemon,Yellow,
Lemon,Sami Late,
Lemon,Drums,
Lemon,Kernel (Nut),
Lemon,Diced,
Lemon,Fino (=Primofiori=Mesero=Blano=Primofiore),
Lemon,Genoa (=Genova),
Lemon,2PH,
Lemon,Adalia,
Lemon,Lisbon,
Lemon,Lamas,
Lemon,Meyer (=Grant Lemon),
Lemon,Interdonato,
Lemon,Green,
Lemon,Verdelli,
Lemon,Verna (=Berna),
Lemon,Sicilian (=Bearss=Siciliano),
Lemon,Eureka,
Lemon,Paste,
Lemon,Concentrate,
Lemon,Puree,
Lemon,Pulp,
Lemon,Powder,
Lemon,Peeled,
Lemon,Crushed,
Lemon,Chips,
Lemon,Flakes,
Lemon,Sliced,
Lemon,Cubes,
Lemon,Quarters,
Lemon,Chunks,
Lemon,Segments,
Lemon,Halves,
Lemon,Whole,
Lemon,Non-GMO,
Lemon,Organic,
Lemon,GMO,
Lemon,Dried - VF (Vibrofluidized Bed Drying),
Lemon,Dried - VD (Vacuum Drying),
Lemon,Dried - FD (Freeze Drying),
Lemon,Dried - SD (Spray Drying),
Lemon,Dried - AD (Air Drying),
Lemon,Dried (=Dehydrated),
Lemon,Frozen - BQF,
Lemon,Frozen - IQF,
Lemon,Frozen,
Lemon,Fresh (=Chilled),
Peanut,Glazed,
Peanut,Smoked,
Peanut,Conventional,
Peanut,Salted,
Peanut,Halves,
Peanut,Ground,
Peanut,Dried,
Peanut,13~16,
Peanut,10~12,
Peanut,38~45,
Peanut,90~100,
Peanut,26~36,
Peanut,24~26,
Peanut,21~26,
Peanut,13~15,
Peanut,11~13,
Peanut,9~11,
Peanut,8~10,
Peanut,7~9,
Peanut,25~27,
Peanut,21~25,
Peanut,35~39,
Peanut,25~29,
Peanut,25~35,
Peanut,70~90,
Peanut,80~100,
Peanut,70~80,
Peanut,60~80,
Peanut,45~55,
Peanut,60~70,
Peanut,50~60,
Peanut,40~50,
Peanut,38~42,
Peanut,35~40,
Peanut,34~38,
Peanut,24~28,
Peanut,20~24,
Peanut,Unspecified,
Peanut,Non-EU,
Peanut,Bird Feed,
Peanut,EU Quality,
Peanut,Sortex Clean,
Peanut,Machine Clean Quality and HPS,
Peanut,Machine Clean Quality,
Peanut,North Carolina,
Peanut,Virginia Shangdong,
Peanut,Unspecified,
Peanut,Shangdong Seaflower,
Peanut,Overo,
Peanut,Luhua,
Peanut,Long Type,
